session_path,trial_idx,label,wear_id,mode,quality,n_frames,valid_zone_ratio,drop_count,session_date
/home/pollux/Desktop/esp-mask-test/sessions/2026-08-26_S02.h5,0,_baseline,3,seated,ok,900,0.33611111111111114,0,2026-08-26
/home/pollux/Desktop/esp-mask-test/sessions/2026-08-26_S02.h5,1,不要,3,seated,low,45,0.9333333333333333,3,2026-08-26
/tmp/bridge-test-2gss7wss/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-2gss7wss/sessions/2026-08-26_S01.h5,1,一,1,quiz,low,46,0.9239130434782608,3,2026-08-26
/tmp/bridge-test-5aouaxnn/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-5aouaxnn/sessions/2026-08-26_S01.h5,1,停,1,quiz,low,51,0.9411764705882352,3,2026-08-26
/tmp/bridge-test-6gerea84/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-6gerea84/sessions/2026-08-26_S01.h5,1,啊,1,quiz,low,75,0.96,3,2026-08-26
/tmp/bridge-test-942rk0d0/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-942rk0d0/sessions/2026-08-26_S01.h5,1,四,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-9l1rmk6i/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-9l1rmk6i/sessions/2026-08-26_S01.h5,1,四,1,quiz,low,52,0.9326923076923076,3,2026-08-26
/tmp/bridge-test-ahj5acp6/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-ahj5acp6/sessions/2026-08-26_S01.h5,1,四,1,quiz,low,76,0.9539473684210528,3,2026-08-26
/tmp/bridge-test-bu7uy5lm/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-bu7uy5lm/sessions/2026-08-26_S01.h5,1,好,1,quiz,low,46,0.9239130434782608,3,2026-08-26
/tmp/bridge-test-bvfi7357/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-bvfi7357/sessions/2026-08-26_S01.h5,1,好,1,quiz,low,46,0.9239130434782608,3,2026-08-26
/tmp/bridge-test-c47rfa8h/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-c47rfa8h/sessions/2026-08-26_S01.h5,1,五,1,quiz,low,76,0.9539473684210528,3,2026-08-26
/tmp/bridge-test-fclslvxn/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-fclslvxn/sessions/2026-08-26_S01.h5,1,啊,1,quiz,ok,61,1.0,0,2026-08-26
/tmp/bridge-test-fga63qo8/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-fga63qo8/sessions/2026-08-26_S01.h5,1,四,1,quiz,low,52,0.9326923076923076,3,2026-08-26
/tmp/bridge-test-gejmnner/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-gejmnner/sessions/2026-08-26_S01.h5,1,不要,1,quiz,low,46,0.9239130434782608,3,2026-08-26
/tmp/bridge-test-ghqovehe/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-ghqovehe/sessions/2026-08-26_S01.h5,1,五,1,quiz,low,19,0.8157894736842105,3,2026-08-26
/tmp/bridge-test-gz_nr0eo/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-gz_nr0eo/sessions/2026-08-26_S01.h5,1,啊,1,quiz,low,52,0.9326923076923076,3,2026-08-26
/tmp/bridge-test-jadnmpl4/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
/tmp/bridge-test-jadnmpl4/sessions/2026-08-26_S01.h5,1,啊,1,quiz,low,45,0.9333333333333332,3,2026-08-26
/tmp/bridge-test-kfwm23n7/sessions/2026-08-26_S01.h5,0,_baseline,1,quiz,ok,60,1.0,0,2026-08-26
